date,info
2019-07-13 19:41:15.192000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:21.216000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:23.246000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:25.278000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:27.317000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:28.486000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:41:28.517000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:41:30.798000+00:00,"{""temperature"":26.22,""linkquality"":31,""humidity"":69.53,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:41:30.841000+00:00,"{""temperature"":26.22,""linkquality"":31,""humidity"":67.96,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:41:30.842000+00:00,"{""temperature"":26.22,""linkquality"":31,""humidity"":67.96,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:41:34.558000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:36.588000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:38.621000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:39.821000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:39.836000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:41:45.872000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:47.929000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":71}"
2019-07-13 19:41:49.989000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
